iter	Passed	Remaining
962	11410	438
963	11424	426
964	11437	414
965	11450	403
966	11462	391
967	11474	379
968	11487	367
969	11496	355
970	11510	343
971	11523	331
972	11534	320
973	11546	308
974	11560	296
975	11572	284
976	11584	272
977	11595	260
978	11608	249
979	11620	237
980	11634	225
981	11647	213
982	11660	201
983	11672	189
984	11684	177
985	11696	166
986	11708	154
987	11721	142
988	11732	130
989	11746	118
990	11758	106
991	11772	94
992	11784	83
993	11796	71
994	11806	59
995	11816	47
996	11827	35
997	11840	23
998	11853	11
999	11866	0
